comuna,region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,Número de habitantes
Aysén,Región de Aysén del Gral.Ibañez del Campo,10.164146957965789,8.96353384484021,9.020259116097526,9.390251899700875,7.022417591425719,0.3798149396506056,0.39216183234335034,1.2638918888705886,23959
Putaendo,Región de Valparaíso,1.422425992680371,1.179486809214095,1.2037985886857783,1.1849954650008818,0.21823289668732157,0.001206775529215552,0.001206775529215552,0.001206775529215552,16754
Río Ibáñez,Región de Aysén del Gral.Ibañez del Campo,6.733109888893531,6.362945180663515,6.405471697990988,6.7443208546673485,0.28831423488738667,0.008822228702247577,0.008822228702247577,0.028850231748935952,2666
Tucapel,Región del Bío-Bío,6.68207839059727,6.264172100536271,7.78975255863231,6.3237522027608675,1.462984217602572,0.763408277159456,1.1264870223255041,0.7634431925677498,14134
Puerto Varas,Región de Los Lagos,11.43822876652987,7.8511146520607795,9.257909195884865,9.23562631084642,2.9649861896455527,0.2011480190292689,0.9970543579667914,0.7246679230937709,44578
Cisnes,Región de Aysén del Gral.Ibañez del Campo,9.703329302168852,8.90772569343587,9.399045439818426,9.355873452439592,1.3679807805871658,0.3359556793556356,1.4367036814855905,1.1203683872522918,6517
Contulmo,Región del Bío-Bío,11.420934487892819,11.164123365651964,14.64502780241547,12.315906724178415,0.28202765152659853,0.15575629854591208,0.31404347365995117,0.18876792579426202,6031
Calbuco,Región de Los Lagos,24.107143820667083,11.202886156939297,15.111391999365814,14.530382965713386,1.5928007483611617,0.19229561869842715,0.9684955993089739,0.7020717345276699,33985
Cabildo,Región de Valparaíso,2.091798474409869,1.5522668430822946,1.6001822491945437,1.5629629986049933,0.030806406146540698,0.0004136116467567984,0.0004136116467567984,0.0004136116467567984,19388
Lonquimay,Región de La Araucanía,5.704498883139519,5.252188646054133,6.757933000538724,5.662602311962717,1.184059140950039,0.5716112638105341,1.3679848920010258,0.7770046206608988,10251
El Quisco,Región de Valparaíso,8.922214714762493,7.233285876707389,7.720241373669133,7.336523850064756,0.021637206592110707,0.0002689523786255892,0.0002689523786255892,0.0002689523786255892,15955
Hualañé,Región del Maule,9.969553380591249,5.835968481888793,7.555062377871342,6.120430962112161,0.06908267482211028,0.04092754953781395,0.08439690305814762,0.045661162375487854,9657
Pucón,Región de La Araucanía,11.046137984277257,8.940449216521234,14.350637331550908,10.588182384419758,3.067303636371508,1.3171243045671988,3.154781267908008,1.8449039912234009,28523
Coyhaique,Región de Aysén del Gral.Ibañez del Campo,13.187324321285127,9.677485009985409,9.781772713216146,13.415504314810509,15.67856427127594,3.1970755134861277,3.200547985635139,10.655926169801416,57818
Lago Verde,Región de Aysén del Gral.Ibañez del Campo,6.854914210901134,6.635732372341529,6.96574742057775,6.9471198201603945,0.007894271097098124,0.020541082466824775,0.08190410880136664,0.06826635377130695,852
Teno,Región del Maule,6.786443649509298,4.981040399648318,6.1456586016151205,5.224834860091516,0.23630949776100507,0.2579161902549658,0.3995387909537889,0.2874220964148593,28921
Cartagena,Región de Valparaíso,8.640471022277529,9.582574897220795,9.972355029441564,9.667848502999961,0.06003352644918147,0.034467834084342626,0.034467834084342626,0.034467834084342626,22738
Machalí,Región del Libertador Bernardo O'Higgins,2.3001444658440238,3.288551302768429,3.333385174394671,3.3134358017592307,0.30916231211057343,0.1784274592947789,0.17843473119119196,0.18500030981130683,52505
Requínoa,Región del Libertador Bernardo O'Higgins,5.483477364826032,5.826234024613372,5.903563102183881,5.9244768210423056,0.40930432984765525,0.22992394137686253,0.23024105033711295,0.24062399110039714,27968
Toltén,Región de La Araucanía,24.09803229565832,14.62483054310934,21.7141110049498,18.24629725295059,1.1276400816246834,0.4288933438144565,1.0286587825026443,0.65680351340483,9722
Chonchi,Región de Los Lagos,16.0242045117057,12.391559508166932,15.969216504431548,14.913685816165902,1.7357736818055025,0.5167495046499881,2.608458067944768,1.890495115444211,14858
Puchuncaví,Región de Valparaíso,9.635711903852131,6.547472685060262,6.801370919422295,6.606003368920401,0.0870097793869332,0.0013776523075385203,0.0013776523075385203,0.0013776523075385203,18546
